region,openings_2024_q1,closures_2024_q1,net_2024_q1,openings_2025_q1,closures_2025_q1,net_2025_q1,openings_yoy_pct,closures_yoy_pct,net_change_abs,closure_to_opening_2024_q1,closure_to_opening_2025_q1,complete_data_q1_2024_2025,data_note
Alberta,19242.0,18644.0,598.0,19834.0,19324.0,510.0,3.0766032636940026,3.6472859901308734,-88.0,0.9689221494647126,0.9742865786023999,1,
British Columbia,22907.0,22581.0,326.0,23107.0,22515.0,592.0,0.8730955603090759,-0.29228112129666534,266.0,0.9857685423669621,0.974380057991085,1,
Manitoba,3747.0,3780.0,-33.0,3801.0,3662.0,139.0,1.4411529223378703,-3.1216931216931214,172.0,1.0088070456365092,0.9634306761378585,1,
New Brunswick,2198.0,2180.0,18.0,2208.0,2191.0,17.0,0.4549590536851683,0.5045871559633028,-1.0,0.991810737033667,0.9923007246376812,1,
Newfoundland and Labrador,1898.0,1712.0,186.0,1915.0,1912.0,3.0,0.8956796628029504,11.682242990654206,-183.0,0.9020021074815595,0.9984334203655353,1,
Northwest Territories,131.0,135.0,-4.0,135.0,135.0,0.0,3.0534351145038165,0.0,4.0,1.0305343511450382,1.0,1,
Nova Scotia,2981.0,2774.0,207.0,2877.0,2955.0,-78.0,-3.488762160348876,6.5248738284066325,-285.0,0.930560214693056,1.02711157455683,1,
Nunavut,,,,,,,,,,,,0,"Incomplete data in at least one month (e.g., STATUS='x')."
Ontario,55197.0,53938.0,1259.0,55685.0,56620.0,-935.0,0.8841060202547241,4.972375690607735,-2194.0,0.9771907893544939,1.0167908772559935,1,
Prince Edward Island,672.0,660.0,12.0,650.0,690.0,-40.0,-3.273809523809524,4.545454545454546,-52.0,0.9821428571428571,1.0615384615384615,1,
Quebec,21714.0,20949.0,765.0,21257.0,20942.0,315.0,-2.1046329556967858,-0.03341448279154136,-450.0,0.9647692732799116,0.9851813520252152,1,
Saskatchewan,3579.0,3373.0,206.0,3396.0,3457.0,-61.0,-5.113160100586756,2.490364660539579,-267.0,0.9424420229114278,1.017962308598351,1,
Yukon,218.0,192.0,26.0,223.0,229.0,-6.0,2.293577981651376,19.270833333333336,-32.0,0.8807339449541285,1.0269058295964126,1,
