region,region_abbr,region_group,openings_q1_2024,closures_q1_2024,net_q1_2024,entrants_q1_2024,reopening_q1_2024,exits_q1_2024,temp_closures_q1_2024,openings_q1_2025,closures_q1_2025,net_q1_2025,entrants_q1_2025,reopening_q1_2025,exits_q1_2025,temp_closures_q1_2025,openings_yoy_pct,closures_yoy_pct,net_change_abs,closure_to_opening_ratio_q1_2025,complete_data_open_close_q1_2024_2025,complete_data_all8_q1_2024_2025
Alberta,AB,Prairies,19242.0,18644.0,598.0,7131.0,12111.0,7353.0,11291.0,19834.0,19324.0,510.0,6578.0,13256.0,8035.0,11289.0,3.0766032636940026,3.6472859901308734,-88.0,0.9742865786023999,1,1
British Columbia,BC,West,22907.0,22581.0,326.0,8419.0,14488.0,8984.0,13597.0,23107.0,22515.0,592.0,7476.0,15631.0,9141.0,13374.0,0.8730955603090759,-0.29228112129666534,266.0,0.974380057991085,1,1
Manitoba,MB,Prairies,3747.0,3780.0,-33.0,1350.0,2397.0,1539.0,2241.0,3801.0,3662.0,139.0,1313.0,2488.0,1556.0,2106.0,1.4411529223378703,-3.1216931216931214,172.0,0.9634306761378585,1,1
New Brunswick,NB,Atlantic,2198.0,2180.0,18.0,798.0,1400.0,824.0,1356.0,2208.0,2191.0,17.0,754.0,1454.0,893.0,1298.0,0.4549590536851683,0.5045871559633028,-1.0,0.9923007246376812,1,1
Newfoundland and Labrador,NL,Atlantic,1898.0,1712.0,186.0,636.0,1262.0,644.0,1068.0,1915.0,1912.0,3.0,583.0,1332.0,836.0,1076.0,0.8956796628029504,11.682242990654206,-183.0,0.9984334203655353,1,1
Northwest Territories,NT,North,131.0,135.0,-4.0,,,,,135.0,135.0,0.0,,,,,3.0534351145038165,0.0,4.0,1.0,1,0
Nova Scotia,NS,Atlantic,2981.0,2774.0,207.0,1114.0,1867.0,989.0,1785.0,2877.0,2955.0,-78.0,966.0,1911.0,1089.0,1866.0,-3.488762160348876,6.5248738284066325,-285.0,1.02711157455683,1,1
Nunavut,NU,North,,,,,,,,,,,,,,,,,,,0,0
Ontario,ON,Central,55197.0,53938.0,1259.0,20189.0,35008.0,21949.0,31989.0,55685.0,56620.0,-935.0,18572.0,37113.0,24193.0,32427.0,0.8841060202547241,4.972375690607735,-2194.0,1.0167908772559935,1,1
Prince Edward Island,PE,Atlantic,672.0,660.0,12.0,232.0,440.0,251.0,409.0,650.0,690.0,-40.0,219.0,431.0,290.0,400.0,-3.273809523809524,4.545454545454546,-52.0,1.0615384615384615,1,1
Quebec,QC,Central,21714.0,20949.0,765.0,7650.0,14064.0,8163.0,12786.0,21257.0,20942.0,315.0,7194.0,14063.0,7356.0,13586.0,-2.1046329556967858,-0.03341448279154136,-450.0,0.9851813520252152,1,1
Saskatchewan,SK,Prairies,3579.0,3373.0,206.0,1283.0,2296.0,1276.0,2097.0,3396.0,3457.0,-61.0,1116.0,2280.0,1288.0,2169.0,-5.113160100586756,2.490364660539579,-267.0,1.017962308598351,1,1
Yukon,YT,North,218.0,192.0,26.0,69.0,149.0,,,223.0,229.0,-6.0,83.0,140.0,,,2.293577981651376,19.270833333333336,-32.0,1.0269058295964126,1,0
